CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_Book,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
719787633,47,M,0,Graduate,Married,"$80K - $120K",36,34516,1913,7535,92,0.055
713688933,42,F,0,Unknown,Married,"Less than $40K",28,8798,1509,8020,74,0.172
715908558,44,M,0,Graduate,Unknown,"$60K - $80K",36,29572,1584,7566,88,0.054
719784708,49,M,0,Unknown,Married,"$80K - $120K",36,26882,1673,7409,89,0.062
770920908,39,F,0,Unknown,Single,"$40K - $60K",26,22054,1146,8055,82,0.052
713824983,43,F,0,"High School",Married,"Less than $40K",35,8401,1085,7697,98,0.129
820394733,52,M,0,College,Married,"$120K +",47,34516,1464,7690,87,0.042
713460258,45,F,0,Doctorate,Married,"$40K - $60K",36,19107,933,8987,89,0.049
789304983,44,M,0,Unknown,Married,"$40K - $60K",34,22226,1864,8753,97,0.084
710822808,51,M,0,College,Single,"$80K - $120K",33,34516,1228,7854,89,0.036
712129158,63,M,0,Uneducated,Single,"$60K - $80K",36,7997,1096,7747,104,0.137
783121008,55,F,0,Graduate,Single,"Less than $40K",49,12094,1870,8285,106,0.155
713808633,31,F,0,Uneducated,Divorced,"Less than $40K",23,10850,1873,13794,127,0.173
713209308,59,M,0,Graduate,Single,"$60K - $80K",46,17218,1829,7971,97,0.106
790168083,51,M,0,"High School",Unknown,"$80K - $120K",44,22741,2176,8438,100,0.096
708697983,56,M,0,"High School",Unknown,"$120K +",49,34516,2156,8766,78,0.062
710694033,32,M,0,Graduate,Divorced,"$40K - $60K",36,7473,1253,13400,104,0.168
716406483,30,M,0,Unknown,Single,"$60K - $80K",20,23760,1349,13124,103,0.057
789539058,28,M,0,Uneducated,Single,"Less than $40K",20,4342,893,17064,116,0.206
773283108,31,M,0,"High School",Married,"$60K - $80K",24,32535,1722,15738,116,0.053
719324658,27,M,0,College,Unknown,"$80K - $120K",19,34516,1131,14716,112,0.033
716323683,31,M,0,Graduate,Married,"$80K - $120K",36,32791,1607,13177,106,0.049
789550458,59,M,0,"High School",Single,"$40K - $60K",52,15223,1729,14230,111,0.114
717173358,60,F,0,Graduate,Single,"$40K - $60K",47,9502,1881,14418,100,0.198
771484908,31,M,0,Graduate,Divorced,"$80K - $120K",19,34516,1984,14969,96,0.057
793456983,43,M,0,Post-Graduate,Single,"$40K - $60K",37,7872,989,13746,104,0.126
712195383,37,F,0,Doctorate,Single,"Less than $40K",36,9178,1585,14932,110,0.173
717403158,60,F,0,Uneducated,Single,"Less than $40K",47,9634,2076,14218,102,0.215
713975433,32,F,0,"High School",Divorced,"Less than $40K",25,8851,1753,14783,110,0.198
712231308,60,M,0,Graduate,Single,"Less than $40K",47,14002,1413,13849,128,0.101
711720408,44,F,0,Unknown,Married,"Less than $40K",34,9070,1273,15211,129,0.14
715600533,61,M,0,Graduate,Single,"$80K - $120K",50,34516,1357,13722,124,0.039
794132808,60,M,0,Uneducated,Married,"$40K - $60K",54,13035,1285,14585,97,0.099
758331483,31,M,0,Graduate,Single,"$60K - $80K",24,34516,984,15347,109,0.029
717788958,31,M,0,Graduate,Divorced,"$80K - $120K",19,21615,570,16464,103,0.026
716816583,61,M,0,Graduate,Married,"$60K - $80K",48,15483,2148,14463,94,0.139
719841708,45,M,0,Uneducated,Single,"$80K - $120K",36,20356,2031,15180,121,0.1
714928158,60,M,0,"High School",Single,"$80K - $120K",36,34516,806,13434,102,0.023
767414808,57,F,0,Uneducated,Married,"Less than $40K",51,6996,2092,15017,120,0.299
721086483,27,F,0,Uneducated,Single,"Less than $40K",19,10982,2517,13563,97,0.229
711398433,38,M,0,"High School",Married,"$60K - $80K",31,16565,1200,16736,99,0.072
717324183,31,F,0,"High School",Single,"Less than $40K",21,14305,1288,14769,119,0.09
716619558,38,F,0,"High School",Single,"Less than $40K",36,13747,1941,16401,119,0.141
721005108,41,M,0,College,Married,"$40K - $60K",29,6991,1384,14994,104,0.198
721455558,56,M,0,Graduate,Single,"$60K - $80K",44,6828,1859,14713,104,0.272
709589208,53,M,0,Graduate,Single,"$60K - $80K",35,17721,596,14409,83,0.034
715923408,30,F,0,College,Married,"Less than $40K",19,4184,1254,14999,110,0.3
720971358,59,M,0,"High School",Single,"$80K - $120K",47,26812,1491,14838,110,0.056
785038908,43,F,0,Graduate,Married,"Less than $40K",37,6380,1160,17119,124,0.182
818906208,32,M,0,"High School",Unknown,"$60K - $80K",27,29081,1396,1538,36,0.048
787937058,58,M,0,Graduate,Married,"$80K - $120K",49,12555,1696,1291,24,0.135
715872333,41,M,0,"High School",Unknown,"$120K +",36,18214,1998,1344,21,0.11
710565408,59,M,0,Unknown,Unknown,"$80K - $120K",40,34516,1359,1033,26,0.039
715952883,73,M,0,"High School",Married,"$40K - $60K",36,4469,1125,1765,34,0.252
788977833,61,M,0,Uneducated,Married,"$80K - $120K",48,5362,1274,1876,41,0.238
716458983,60,M,0,"High School",Married,"$40K - $60K",36,3281,837,1424,29,0.255
